675946.32;4742477.96;0;1_27;12.47;2077.09;1005.37;3;751787.5;14.4;9324667.79;2077.09;1005.37;1
675951.31;4742463.82;0;1_28_battery;12.47;164.363;79.51068107916528;3;751787.5;14.4;18649335.57;164.363;79.51068107916528;1
675761.17;4742859.74;0;2_0;0.416;113.22;54.84;3;22301.3;3.6;464421.82;113.22;54.84;1
675759.66;4742455.59;0;3_14;12.47;563.08;272.1;3;125566.67;10.8;2274906.46;563.08;272.1;1
675764.72;4742441.47;0;3_15_battery;0.416;28.195;13.597496230118292;3;125566.67;10.8;4549812.93;28.195;13.597496230118292;1
675887.91;4742353.41;0;4_3;0.416;111.81;54.15;3;31606.0;10.8;452804.17;111.81;54.15;1
675882.85;4742367.53;0;4_4;0.416;111.81;54.15;3;31606.0;10.8;452804.17;111.81;54.15;1
675930.79;4742369.41;0;5_0;0.416;42.44;20.55;1;8799.83;3.6;172203.1;42.44;20.55;1
675915.22;4742412.96;0;6_8;0.416;6.85;2.39;1;10683.49;3.6;30527.12;6.85;2.39;1
675910.16;4742427.08;0;6_9_battery;0.416;4.567;1.6903155347368226;1;10683.49;3.6;61054.24;4.567;1.6903155347368226;1
675886.81;4742646.8;0;7_7;0.416;174.21;83.98;3;325536.66;18.0;494920.04;174.21;83.98;1
675891.87;4742632.68;0;7_8;0.416;174.21;83.98;3;325536.66;18.0;494920.04;174.21;83.98;1
675896.93;4742618.56;0;7_9;0.416;174.21;83.98;3;325536.66;18.0;494920.04;174.21;83.98;1
675901.99;4742604.44;0;7_10;0.416;174.21;83.98;3;325536.66;18.0;494920.04;174.21;83.98;1
675903.22;4742601.0;0;7_11_battery;12.47;160.833;77.50354710846166;3;325536.66;18.0;2474600.21;160.833;77.50354710846166;1
675704.53;4742609.32;0;8_10;12.47;972.16;469.85;3;402984.01;30.0;3785576.85;972.16;469.85;1
675718.66;4742614.35;0;8_11_battery;12.47;15.364;7.428259146934705;3;402984.01;30.0;7571153.7;15.364;7.428259146934705;1
675814.93;4742711.07;0;9_13;12.47;679.43;329.07;3;286820.07;9.0;3235016.58;679.43;329.07;1
675689.54;4743064.31;0;10_28;12.47;2978.86;1442.73;3;1277711.44;28.8;13845243.78;2978.86;1442.73;1
675803.87;4742470.42;0;11_0;0.416;115.09;55.74;3;32495.3;10.8;465642.24;115.09;55.74;1
675818.0;4742475.45;0;11_1;0.416;115.09;55.74;3;32495.3;10.8;465642.24;115.09;55.74;1
675828.9;4742959.92;0;12_20;12.47;570.93;275.52;3;374214.78;10.8;1992582.96;570.93;275.52;1
675843.03;4742964.95;0;12_21_battery;12.47;76.904;37.246304505322264;3;374214.78;10.8;3985165.91;76.904;37.246304505322264;1
675846.17;4743058.76;0;13_4;0.416;240.74;116.6;3;315994.2;36.0;909587.79;240.74;116.6;1
675841.01;4743072.84;0;13_5;0.416;240.74;116.6;3;315994.2;36.0;909587.79;240.74;116.6;1
675835.85;4743086.92;0;13_6;0.416;240.74;116.6;3;315994.2;36.0;909587.79;240.74;116.6;1
675830.69;4743101.0;0;13_7;0.416;240.74;116.6;3;315994.2;36.0;909587.79;240.74;116.6;1
