Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),Cooling:Electricity(kWh),Heating:Electricity(kWh),InteriorLights:Electricity(kWh),ExteriorLights:Electricity(kWh),InteriorEquipment:Electricity(kWh),Fans:Electricity(kWh),Pumps:Electricity(kWh),WaterSystems:Electricity(kWh),HeatRejection:Electricity(kWh),HeatRejection:Gas(kBtu),Heating:Gas(kBtu),WaterSystems:Gas(kBtu),InteriorEquipment:Gas(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kVA),ElectricityProduced:Facility Apparent Power(kVA),Net Power(kW),Net Apparent Power(kVA),Ice Thermal Storage End Fraction(),Cooling Coil Ice Thermal Storage End Fraction(),HeatRejection:Electricity(),WaterSystems:Electricity()
2017/01/01 01:00:00,4152.519350096755,0.0,28831.102142464842,407.76370341383983,0.0,500.89668986863677,642.8674895724045,1317.689320380092,628.2174049000413,107.90246118838871,506.4811911732629,8.666997691592279,0.0,11440.270193971635,14967.133331449482,2423.6986170437176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.519350096755,4152.519350096755,0.0,4613.910388996394,0.0,4152.519350096755,4613.910388996394,0.0,0.0,0.0,0.0
2017/01/01 02:00:00,2730.678795859224,0.0,6726.816810903011,0.0,0.0,473.8600788023936,642.8674895724045,1104.1385054975194,309.87833203063326,1.2637248924668274,166.63657315530978,0.0,0.0,3905.7679472187588,917.6873176478002,1903.3615460364526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2730.678795859224,2730.678795859224,0.0,3034.0875509546936,0.0,2730.678795859224,3034.0875509546936,0.0,0.0,0.0,0.0
2017/01/01 03:00:00,3704.3917648863235,0.0,15694.410031789743,461.37041811111214,0.0,422.120263936554,642.8674895724045,1225.2125179139844,631.7487958843966,108.51520587260647,171.00321017026135,9.519771516506044,0.0,12960.803130094137,418.341621379306,2315.265280316302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3704.3917648863235,3704.3917648863235,0.0,4115.990849873692,0.0,3704.3917648863235,4115.990849873692,0.0,0.0,0.0,0.0
2017/01/01 04:00:00,2665.7901194329534,0.0,6182.3854002831795,0.0,0.0,422.120263936554,642.8674895724045,1089.6749959228862,308.05568707898016,1.2568024945348566,169.78078851909666,0.0,0.0,3967.006198875844,420.4509920982994,1794.9282093090364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2665.7901194329534,2665.7901194329534,0.0,2961.9890215921705,0.0,2665.7901194329534,2961.9890215921705,0.0,0.0,0.0,0.0
2017/01/01 05:00:00,4566.481197412261,0.0,23006.24278867346,363.2445448284118,0.0,422.120263936554,642.8674895724045,1496.2875618961816,1074.180486225751,345.76538687199303,182.48897965006978,7.492392522397341,0.0,19013.67002461717,636.6333417254514,3355.9394223308327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4566.481197412261,4566.481197412261,0.0,5073.867997124734,0.0,4566.481197412261,5073.867997124734,0.0,0.0,0.0,0.0
2017/01/01 06:00:00,4162.882730271374,0.0,11329.002015806518,0.0,0.0,420.66542234998235,642.8674895724045,2531.291337292472,335.2443240407718,1.2323037443390317,199.54776136290783,0.0,0.0,3513.1040994249142,624.035784632565,7191.862131749041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4162.882730271374,4162.882730271374,0.0,4625.425255857083,0.0,4162.882730271374,4625.425255857083,0.0,0.0,0.0,0.0
2017/01/01 07:00:00,7085.620268674005,0.0,38159.28903045137,366.73457593153694,0.0,648.8009401730337,862.055452194704,3396.0471956112733,1040.5537737189918,460.45514880312993,271.4718973549551,7.467192977881885,0.0,15614.596781826716,14401.45435519534,8143.237893429313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7085.620268674005,7085.620268674005,0.0,7872.911409637784,0.0,7085.620268674005,7872.911409637784,0.0,0.0,0.0,0.0
2017/01/01 08:00:00,6258.519874188214,0.0,36357.57360820643,24.41415192404827,0.0,676.403817826981,862.055452194704,3219.7579035168355,896.8685391242783,43.585967047648005,326.58199243458404,0.5147872640426513,0.0,11941.733090612477,14800.889791477106,9614.950726116847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6258.519874188214,6258.519874188214,0.0,6953.910971320237,0.0,6258.519874188214,6953.910971320237,0.0,0.0,0.0,0.0
2017/01/01 09:00:00,7425.289014245957,0.0,46290.06948026198,344.02552851511547,0.0,943.3291488074275,0.0,4265.541184579166,1165.9728869222392,111.18224541924715,379.3193280233746,6.88357687571864,0.0,19914.92198948393,14740.294741950836,11634.852748827208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7425.289014245957,7425.289014245957,0.0,8250.321126939953,0.0,7425.289014245957,8250.321126939953,0.0,0.0,0.0,0.0
2017/01/01 10:00:00,7193.725648582983,0.0,39983.892891579235,154.50995462102185,0.0,1054.077602828598,0.0,4226.370738332798,955.9455882800439,264.14884470152356,326.75902845971535,2.87877625561127,0.0,12526.026098802988,14693.041521600253,12764.825271176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7193.725648582983,7193.725648582983,0.0,7993.028498425536,0.0,7193.725648582983,7993.028498425536,0.0,0.0,0.0,0.0
