Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),Cooling:Electricity(kWh),Heating:Electricity(kWh),InteriorLights:Electricity(kWh),ExteriorLights:Electricity(kWh),InteriorEquipment:Electricity(kWh),Fans:Electricity(kWh),Pumps:Electricity(kWh),WaterSystems:Electricity(kWh),HeatRejection:Electricity(kWh),HeatRejection:Gas(kBtu),Heating:Gas(kBtu),WaterSystems:Gas(kBtu),InteriorEquipment:Gas(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),1 ZONE VAV 1 CLG COIL(W),1 ZONE VAV CLG COIL(W),BUILDING STORY 2 THERMALZONE PTAC 1SPD DX AC CLG COIL 1796KBTU/HR 9.3EER(W),1 ZONE VAV 1 MAIN HTG COIL(W),1 ZONE VAV MAIN HTG COIL(W),BUILDING STORY 1 THERMALZONE REHEAT COIL(W),BUILDING STORY 3 THERMALZONE REHEAT COIL(W),HOT WATER LOOP WATER HTG COIL(W),Zone Thermal Comfort Fanger Model PMV(),Zone Thermal Comfort Fanger Model PPD(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kVA),ElectricityProduced:Facility Apparent Power(kVA),Net Power(kW),Net Apparent Power(kVA),Ice Thermal Storage End Fraction(),Cooling Coil Ice Thermal Storage End Fraction()
2017/01/01 01:00:00,582.2129414695681,0,2401.3033275089133,129.15819303434316,0.0,99.40399673054809,19.9584135176345,177.1794200402153,114.75473240193962,22.579124615569953,16.23916601912124,2.939895110196345,0,2065.4908069610506,144.845056708747,190.96746383911582,0,0,0,0,0,0,0,0,0,0,69615.01793052835,459890.684192064,0.0,0.0,0.0,242028.1032024865,126174.57335669927,27030.89937606982,0,0,582.2129414695681,582.2129414695681,0.0,646.9032682995202,0.0,582.2129414695681,646.9032682995202,0,0
2017/01/01 02:00:00,381.32902252972946,0,426.79885177012625,0.0,0.0,99.40399673054809,19.9584135176345,177.1794200402153,68.417836490363,0.04399831385364161,16.325357437114953,0.0,0,91.00919250323942,144.82219542777108,190.96746383911582,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31241.819382841633,0,0,381.32902252972946,381.32902252972946,0.0,423.6989139219216,0.0,381.32902252972946,423.6989139219216,0,0
2017/01/01 03:00:00,582.2318220437481,0,2384.9984224022287,129.23894251870158,0.0,99.40399673054809,19.9584135176345,177.1794200402153,114.75473240193962,22.56438237638751,16.242035837416047,2.8898986209054947,0,2046.324937833198,147.70602072991534,190.96746383911582,0,0,0,0,0,0,0,0,0,0,69622.59220330179,460694.4514430061,0.0,0.0,0.0,240625.82107582528,123171.71493523095,29774.28487695505,0,0,582.2318220437481,582.2318220437481,0.0,646.9242467152757,0.0,582.2318220437481,646.9242467152757,0,0
2017/01/01 04:00:00,381.73736361561777,0,399.70109049932785,0.0,0.0,99.40399673054809,19.9584135176345,177.1794200402153,68.41783649036302,0.03072025986015682,16.746976576996687,0.0,0,56.597481573805915,152.13614508640615,190.96746383911582,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20315.429820395166,0,0,381.73736361561777,381.73736361561777,0.0,424.1526262395753,0.0,381.73736361561777,424.1526262395753,0,0
2017/01/01 05:00:00,583.8697098140901,0,2368.122519009573,129.75159847346586,0.0,99.40399673054809,19.9584135176345,177.1794200402153,114.75473240193962,22.5599989607398,17.335009908897536,2.9265397806495894,0,2032.0851548603655,145.0699003100917,190.96746383911582,0,0,0,0,0,0,0,0,0,0,70224.23847207884,465193.7397546761,0.0,0.0,0.0,234558.02340737067,132733.52625288104,28708.298645352803,0,0,583.8697098140901,583.8697098140901,0.0,648.7441220156556,0.0,583.8697098140901,648.7441220156556,0,0
2017/01/01 06:00:00,381.5653754530112,0,384.78705555051823,0.0,0.0,99.40399673054809,19.9584135176345,177.1794200402153,68.417836490363,0.027523050905742273,16.57818562334463,0.0,0,48.997649649798646,144.82194206160375,190.96746383911582,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17587.33330530834,0,0,381.5653754530112,381.5653754530112,0.0,423.96152828112355,0.0,381.5653754530112,423.96152828112355,0,0
2017/01/01 07:00:00,585.3441696820207,0,2321.3843829698367,129.81375490068677,0.0,99.40399673054809,22.45788663456448,177.1794200402153,114.75473240193962,22.529719908020773,16.238004826146966,2.966654239898814,0,1982.9356423562751,147.48127677444583,190.96746383911582,0,0,0,0,0,0,0,0,0,0,70254.277372419,465778.8621975614,0.0,0.0,0.0,232474.45729946467,128902.53575967596,23524.513847573256,0,0,585.3441696820207,585.3441696820207,0.0,650.3824107578008,0.0,585.3441696820207,650.3824107578008,0,0
2017/01/01 08:00:00,387.55690210150107,0,418.8345951496944,0.0,0.0,99.40399673054809,22.45788663456448,180.91131937874712,68.417836490363,0.037652622822455635,16.328210244456024,0.0,0,75.73206671265258,152.13506459792592,190.96746383911582,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26064.183029432686,0,0,387.55690210150107,387.55690210150107,0.0,430.61878011277895,0.0,387.55690210150107,430.61878011277895,0,0
2017/01/01 09:00:00,652.6591748767528,0,2078.704329147202,96.44888555125243,0.0,142.38811343352938,0.0,254.42632020114578,114.75473240193962,22.042869858265934,20.584389185438692,2.0138642451811717,0,1674.4531830633293,149.6278609650518,254.6232851188211,0,0,0,0,0,0,0,0,0,0,69875.1111124707,130823.83679483717,0.0,0.0,0.0,192570.29576162834,118991.27611758298,10139.479295692205,0,0,652.6591748767528,652.6591748767528,0.0,725.1768609741697,0.0,652.6591748767528,725.1768609741697,0,0
2017/01/01 10:00:00,610.6120448846897,0,1627.6030922485832,55.61387225444773,0.0,142.38811343352938,0.0,254.42632020114578,111.70924123061147,21.809844012397324,23.419215427538226,1.2454383250197412,0,1208.533075671283,164.44673145847906,254.6232851188211,0,0,0,0,0,0,0,0,0,0,0.0,110380.73611334484,0.0,0.0,0.0,207889.2642042032,0.0,1230.2823144444383,0,0,610.6120448846897,610.6120448846897,0.0,678.4578276496552,0.0,610.6120448846897,678.4578276496552,0,0
